White Username,Black Username,Time Control,Game Result,Date,White Elo,Black Elo,Opening,Moves
Geniux007,Tejas299,300,1-0,2023.10.09,817,832,C20,1. e4 e5 2. Qh5 Nc6 3. Bc4 g6 4. Qf3 Nf6 5. Ne2 Bg7 6. O-O O-O 7. d3 Nd4 8. Nxd4 exd4 9. Bg5 c6 10. h3 b5 11. Bb3 a5 12. a4 d5 13. e5 bxa4 14. Bxa4 Qe7 15. exf6 Qb4 16. fxg7 Re8 17. Bh6 Qxb2 18. Nd2 Qb4 19. Bxc6 Qxd2 20. Bxd2
unpricedmink,Tejas299,300,1-0,2023.10.09,797,823,C25,1. e4 e5 2. Nc3 Nc6 3. Bc4 Bb4 4. a3 Ba5 5. b4 Bb6 6. Nd5 Nf6 7. Nxb6 axb6 8. d3 Nd4 9. Nf3 O-O 10. Nxe5 d6 11. Nxf7 Rxf7 12. Bxf7+ Kxf7 13. Bg5 h6 14. Bf4 Bg4 15. f3 Bh5 16. O-O c5 17. c3 Ne6 18. bxc5 Nxf4 19. g3 Nh3+ 20. Kg2 Ng5 21. g4 Bg6 22. f4 Ngh7 23. f5 dxc5 24. fxg6+ Kxg6 25. e5 Nd5 26. Qf3 Qf8 27. Qe4+
peet1601,Tejas299,300,1/2-1/2,2023.10.09,807,823,C25,1. Nc3 e5 2. e4 Bc5 3. a3 Nf6 4. h3 O-O 5. Nf3 Nc6 6. Bb5 a6 7. Bxc6 dxc6 8. b4 Ba7 9. Nxe5 Qd4 10. Ng4 Nxg4 11. Qe2 Nxf2 12. Rf1 Nxe4 13. Qxe4 Qxe4+ 14. Nxe4 Re8 15. d3 Bf5 16. Rxf5 g6 17. Rf3 f5 18. Kf1 fxe4 19. dxe4 Rxe4 20. Bh6 Bd4 21. Rd1 Bg7 22. Bxg7 Kxg7 23. Rd7+ Kg8 24. Rff7 Rf8 25. Rxf8+ Kxf8 26. Rxc7 Rf4+ 27. Kg1 Rf7 28. Rc8+ Ke7 29. Rg8 Kd6 30. Rd8+ Kc7 31. Rd2 Kb6 32. c4 c5 33. Rd6+ Kc7 34. bxc5 Rf4 35. Re6 Rxc4 36. Re7+ Kc6 37. Rxh7 Kxc5 38. Rh6 Ra4 39. Rxg6 Rxa3 40. h4 b5 41. h5 b4 42. h6 b3 43. h7 b2 44. Rg5+ Kc4 45. Rg4+ Kc3 46. h8=Q+ Kc2 47. Rc4+ Kb3 48. Rc3+ Ka2 49. Rxa3+ Kxa3 50. Qc3+ Ka2 51. Qa5+ Kb3 52. Qb6+ Kc2 53. g4 b1=Q+ 54. Qxb1+ Kxb1 55. g5 a5 56. g6 a4 57. g7 a3 58. g8=Q a2 59. Qb8+ Kc2 60. Qc7+ Kb2 61. Qb6+ Ka3 62. Qa5+ Kb2 63. Qb4+ Ka1 64. Qe1+ Kb2 65. Qd2+ Ka3 66. Qc1+ Kb3 67. Qa1 Ka3 68. Kf1 Kb3 69. Ke1 Ka3 70. Kd1 Kb3 71. Kd2 Ka3 72. Kc2 Ka4 73. Qxa2+ Kb4 74. Qb3+ Kc5 75. Kd3 Kd6 76. Ke4 Kc5 77. Ke5 Kc6 78. Qd5+ Kb6 79. Kd6 Ka7 80. Kc7 Ka6 81. Qc6+ Ka5 82. Kd6 Kb4 83. Kd5 Kb3 84. Qc4+ Kb2 85. Kd4 Kb1 86. Kc3 Kc1 87. Qd3
DaK4T,Tejas299,300,0-1,2023.10.09,803,839,D20,1. d4 d5 2. c4 dxc4 3. e4 e6 4. Bxc4 Bd6 5. Nf3 Ne7 6. a3 O-O 7. e5 Bxe5 8. Nxe5 Nf5 9. d5 exd5 10. Bxd5 c6 11. Bxf7+ Rxf7 12. Nxf7 Qxd1+ 13. Kxd1 Kxf7 14. Re1 Be6 15. Nc3 Na6 16. Be3 Nxe3+ 17. Rxe3 Rd8+ 18. Kc2 Bf5+ 19. Kb3 Nc5+ 20. Kb4 Nd3+ 21. Kb3 Be6+ 22. Kc2 Nxf2 23. Rf3+ Ke7 24. Rxf2 g6 25. Re1 Kd6 26. Rf6 Re8 27. Ne4+ Ke7 28. Ref1 Bf5 29. Rf7+ Kxf7 30. Kc3 Rxe4 31. Rd1 Re3+ 32. Kc4 b5+ 33. Kc5 Re6 34. Rd7+ Re7 35. Kxc6 Bxd7+ 36. Kd6 Bf5 37. b4 Bc2 38. g4 Re4 39. g5 Rg4 40. Kc5 Rxg5+ 41. Kc6 h5 42. h4 Rf5 43. Kd6 Kf6 44. Kc6 g5 45. hxg5+ Rxg5 46. Kb7 h4 47. Kxa7 h3 48. Kb6 h2 49. Kc6 h1=Q+ 50. Kd6 Qe4 51. Kd7 Rd5+ 52. Kc6 Qc4+ 53. Kb6 Rd6+ 54. Ka5 Qc7+ 55. Kxb5 Rb6+ 56. Ka5 Qa7#
skier1331,Tejas299,300,1-0,2023.10.09,877,841,C45,1. e4 e5 2. Nf3 Nc6 3. d4 f6 4. d5 Na5 5. Bd2 c6 6. dxc6 dxc6 7. Bd3 Bg4 8. O-O b6 9. Be2 Qd7 10. Na3 O-O-O 11. Ba6+ Nb7 12. Qe2 b5 13. Ba5 Re8 14. Rad1 Qe6 15. Nxb5 cxb5 16. Qxb5 Re7 17. Rd8#
yash_LEVI,Tejas299,300,1-0,2023.10.09,858,833,C45,1. e4 e5 2. Nf3 Nc6 3. d4 f6 4. Bb5 Be7 5. Bxc6 bxc6 6. dxe5 fxe5 7. Nxe5 d6 8. Nxc6 Qd7 9. Qd5 Bb7 10. Qh5+ g6 11. Qe2 Qxc6 12. Nc3 O-O-O 13. Nb5 Qxe4 14. Be3 Qxg2 15. O-O-O Qc6 16. Nxa7+
prisacarugelu63,Tejas299,300,0-1,2023.10.09,827,832,C20,1. e4 e5 2. Qh5 Nc6 3. Nf3 Nf6 4. Qg5 h6 5. Qh4 Be7 6. Qg3 d6 7. h3 Nxe4 8. Qh2 O-O 9. d3 Nf6 10. Qg3 Be6 11. Bxh6 g6 12. Bxf8 Qxf8 13. Ng5 Nh5 14. Qh4 Qd8 15. Be2 Bxg5 16. Qg3 Nxg3 17. fxg3 Be3 18. Nc3 Qf6 19. Rf1 Qg5 20. Ne4 Qh6 21. g4 Qh4+ 22. Kd1 Nd4 23. Nf6+ Kg7 24. Rf3 Nxf3 25. Bxf3 Qf2 26. Ne4 Qf1#
d4n1bgs,Tejas299,300,0-1,2023.10.09,792,841,C20,1. e4 e5 2. Qh5 Nc6 3. Bc4 g6 4. Qf3 Nf6 5. c3 Bg7 6. d3 O-O 7. Bg5 Na5 8. Na3 d6 9. h3 Be6 10. Bxe6 fxe6 11. Qd1 b6 12. Qb3 Nxb3
Burke_45,Tejas299,300,1/2-1/2,2023.10.09,829,850,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O Nf6 5. Nc3 O-O 6. d3 d6 7. h3 a6 8. Bg5 b5 9. Bb3 a5 10. Nxb5 a4 11. Bc4 Nd4 12. Nfxd4 Bxd4 13. Nxd4 exd4 14. a3 Ra5 15. Bh4 Qe8 16. Qf3 Be6 17. Bxe6 fxe6 18. Rfe1 Qg6 19. Rab1 Nh5 20. Qg4 Qxg4 21. hxg4 Nf4 22. Bg3 Rg5 23. Bxf4 Rxf4 24. f3 h5 25. Rf1 hxg4 26. fxg4 Rfxg4 27. Rf2 Rh4 28. Rf3 Rgh5 29. Kf2 e5 30. Rg1 Rf4 31. Rxf4 exf4 32. Kf3 g5 33. g3 Rh3 34. c3 dxc3 35. bxc3 Kf7 36. d4 Ke6 37. d5+ Kd7 38. Kf2 c6 39. dxc6+ Kxc6 40. gxf4 gxf4 41. Rg4 Rxc3 42. Rxf4 Rxa3 43. Ke2 Rb3 44. e5 dxe5 45. Rxa4 Kd5 46. Ra5+ Ke6 47. Kd2 Rh3 48. Ke2 Kf5 49. Kf2 Kf4 50. Kg2 Rg3+ 51. Kf2 e4 52. Ra4 Rf3+ 53. Ke2 Re3+ 54. Kf2 Rd3 55. Ke2 Rh3 56. Kf2 Rh2+ 57. Kg1 Rd2 58. Kf1 Ke3 59. Ke1 Kd3 60. Rxe4 Kxe4 61. Kxd2
Dbrgi,Tejas299,300,1-0,2023.10.09,880,835,C44,1. e4 e5 2. Nf3 Nc6 3. h3 Bc5 4. Bb5 Nf6 5. d3 O-O 6. O-O Nh5 7. Nxe5 Nxe5 8. Qxh5 c6 9. Ba4 d6 10. c3 Nxd3 11. Na3 Bxa3 12. bxa3 Nxc1 13. Raxc1 Be6 14. Rcd1 Bxa2 15. Bc2 Bc4 16. Rfe1 d5 17. exd5 cxd5 18. Qxh7#
