White Username,Black Username,Time Control,Game Result,Date,White Elo,Black Elo,Opening,Moves
PapiBoris,Tejas299,600,0-1,2021.01.01,1103,1201,C57,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nxd5 6. Qf3 Qxg5 7. Qxd5 Be6 8. Qd3 Qxg2 9. Rf1 Qxh2 10. Bxe6 fxe6 11. Nc3 Nb4 12. Qb5+ Kd8 13. Kd1 Qh5+ 14. Ne2 Qf5 15. d3 b6 16. a3 Nd5 17. Qa6 c5 18. Qb7 Nc7 19. Bd2 g5 20. Ng3 Qg4+ 21. Kc1 h5 22. Re1 h4 23. Rxe5 h3 24. Bxg5+ Be7 25. Bxe7+ Kxe7 26. Qxc7+ Kf6 27. Re4 Qg5+ 28. f4 Qd5 29. Kd2 h2 30. c4 Qxe4 31. dxe4 Rad8+ 32. Kc2 h1=Q 33. Qe5+ Ke7 34. Nf5+ Kd7 35. Qd6+ Kc8 36. Qxe6+ Kb8 37. Qe5+ Kb7 38. Nd6+ Rxd6 39. Qxd6 Ka6 40. Rg1
Locc_One1,Tejas299,1800,1-0,2016.04.13,1223,1040,A02,1. f4 e6 2. Nf3 Nf6 3. e3 d5 4. d4 Nc6 5. c4 Ne4 6. Nc3 Bb4 7. Bd2 f5 8. c5 Qf6 9. Bb5 Bxc3 10. bxc3 Qg6 11. O-O a6 12. Ba4 b5 13. Bc2 Nf6 14. h3 Qg3 15. Ng5 Qh4 16. Be1 Qh6 17. a4 bxa4 18. Bxa4 Bd7 19. Bxc6 Bxc6 20. Nxe6 Rc8 21. Rxa6 Kd7 22. Ng5 Qg6 23. Qb3 Rhe8 24. Bf2 Ne4 25. Nxe4 fxe4 26. c4 dxc4 27. Qxc4 Ra8 28. Rfa1 Qh5 29. Kh2 Reb8 30. g4 Qg6 31. d5 Bb5 32. c6+ Kd8 33. Qc5 Rxa6 34. Rxa6 Bxa6 35. Qf8+ Qe8 36. Bh4+ g5 37. Bxg5+ Kc8
Tejas299,caioaugustocarvalho,300,1-0,2023.10.07,851,861,B54,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nc6 5. Bb5 Bd7 6. Bxc6 bxc6 7. O-O e5 8. Nf3 Nf6 9. Bg5 Be7 10. Nc3 Rb8 11. b3 Ng4 12. Ne2 Bxg5 13. Nxg5 Qxg5 14. Ng3 Qe7 15. Nf5 Bxf5 16. exf5 Qh4 17. h3 Nf6 18. Qxd6 Rc8 19. Qxe5+ Kf8 20. Rae1 Re8 21. Qd6+ Kg8 22. Rxe8+ Nxe8 23. Qxc6 Qf6 24. Qxe8#
Tejas299,SkinnyBigggy,300,0-1,2023.10.07,842,824,C44,1. e4 Nc6 2. Nf3 e5 3. Nc3 Bd6 4. Bc4 Nf6 5. O-O O-O 6. d3 h6 7. Nh4 Kh8 8. Nf5 Bb4 9. a3 Bxc3 10. bxc3 d5 11. Bb3 d4 12. cxd4 Nxd4 13. c3 Nxb3 14. Qxb3 Bxf5 15. exf5 Qxd3 16. Bb2 Qxf5 17. Qxb7 Rab8 18. Qf3 Qxf3 19. gxf3 Rxb2
Tejas299,NMsbs,300,0-1,2023.10.07,834,842,C40,1. e4 e5 2. Nf3 Bc5 3. Nxe5 Qh4 4. Qf3 Bxf2+ 5. Qxf2 Qxe4+ 6. Qe2 Nf6 7. Qxe4 Nxe4 8. d3 Nc5 9. Be2 d6 10. Ng4 O-O 11. O-O Re8 12. Bf3 Bxg4 13. Bxg4 Nc6 14. Bd7 Re7 15. Bxc6 bxc6 16. Nc3 a5 17. Be3 Rxe3 18. Rae1 Re5 19. Rxe5 dxe5 20. Re1 f6 21. Ne4 Na4 22. Ng3 Nxb2 23. Nf5 a4 24. Ne7+ Kf7 25. Nxc6 a3 26. Nb4 Ra4 27. Nd5 c6 28. Nc3 Rb4 29. Ne4 Nxd3 30. Rd1 Nf4 31. Rd7+ Kg6 32. g3 Ne2+ 33. Kf2 Nc1 34. h4 Rb2 35. Rd2 Rxa2 36. g4 f5 37. gxf5+ Kxf5 38. Nd6+ Kg4 39. Ne8 g6 40. Nf6+ Kf5 41. Nxh7 Nb3 42. Re2 Nd4 43. c3 Nxe2 44. Ke3 Nxc3 45. Nf8 Rh2 46. Nd7 a2 47. Nc5 a1=Q 48. Nd3 Nd1+ 49. Kf3 Qd4 50. Ne1 Rh3+ 51. Kg2 Qe3 52. Nc2
Tejas299,brvogel,300,1-0,2023.10.07,841,782,C10,1. e4 e6 2. d4 d5 3. Nc3 c5 4. Nf3 Nc6 5. Bb5 Bd7 6. O-O a6 7. Ba4 b5 8. Bb3 c4 9. exd5 Nb4 10. a3 cxb3 11. axb4 Nf6 12. cxb3 exd5 13. Re1+ Be7 14. Bg5 Be6 15. Ne2 O-O 16. Nf4 h6 17. Bh4 g5 18. Nxe6 fxe6 19. Bg3 Ne4 20. Ne5 Qe8 21. f3 Nxg3 22. hxg3 Bd6 23. Qc2 Bxb4 24. Re2 Bd6 25. Rf1 Rc8 26. Qd3 Bxe5 27. dxe5 Qc6 28. Qg6+ Kh8 29. Qxh6+ Kg8 30. Qxg5+ Kf7 31. Qh5+ Ke7 32. Qg5+ Kd7 33. Qg7+ Ke8 34. Qg6+ Rf7 35. Qg8+ Ke7 36. Qg5+
Tejas299,TClash79,300,1-0,2023.10.08,857,814,C47,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Bc5 5. O-O O-O 6. d3 a6 7. a3 Re8 8. b4 Nxb4 9. axb4 Bxb4 10. Bb2 c6 11. Ne2 d5 12. exd5 cxd5 13. Bb3 Bg4 14. Bxe5 Bxf3 15. Bxf6 Qxf6 16. gxf3 Qxf3 17. Ng3 Rad8 18. Qxf3
Tejas299,super223,300,1-0,2023.10.08,857,799,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Be7 5. d3 Nf6 6. Nc3 O-O 7. Nd5 Nxd5 8. Bxd5 Nd4 9. Nxd4 exd4 10. Qh5 c6 11. Bb3 d5 12. exd5 cxd5 13. Bxd5 Qxd5 14. Qxd5 Re8 15. Qxd4 Rd8 16. Qe3 Rd7 17. Qg3 Bd6 18. Bf4 Bxf4 19. Qxf4 b6 20. Rae1 h6 21. Qe4 g6 22. Qxa8 Rd8 23. Qe4
Tejas299,CharlsDT,300,1-0,2023.10.08,856,810,C51,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Nxb4 5. Nxe5 Nh6 6. c3 Qf6 7. d4 Nd3+ 8. Qxd3 Ng4 9. Nxg4 Qxf2+ 10. Nxf2 Bxd4 11. Qxd4 O-O 12. O-O d5 13. Bxd5 Bh3 14. Nxh3 Rfd8 15. Bxf7+ Kf8 16. Bd5+ Ke7 17. Qxg7+ Kd6 18. Bf4+ Kc5 19. Qd4+ Kb5 20. Na3+ Ka6 21. Bc4+ b5 22. Bxb5+ Kb7 23. Qg7 Rd1 24. Rfxd1 Rd8 25. Rxd8 a6 26. Bc4 Kb6 27. Be3+ c5 28. Rd6+ Ka5 29. Qc7+ Ka4 30. Qxc5 h5 31. Qb4#
Tejas299,RusselSenpai,300,1-0,2023.10.08,857,834,B07,1. e4 Nf6 2. Nc3 d6 3. d4 e6 4. Bg5 Be7 5. Qf3 h6 6. Bh4 Nc6 7. O-O-O Nb4 8. Kb1 c6 9. e5 Qa5 10. exf6 Bxf6 11. Bxf6 gxf6 12. Qxf6 Rh7 13. a3 Nd5 14. Nxd5 cxd5 15. Bd3 Bd7 16. Bxh7 Ba4 17. Nf3 Qc7 18. Rhe1 Rc8 19. Rc1 Qa5 20. Bg8 Bxc2+ 21. Rxc2 Qxe1+ 22. Nxe1 Rxc2 23. Nxc2 Kd7
Tejas299,Maswany,300,1-0,2023.10.08,866,868,C40,1. e4 e5 2. Nf3 f6 3. Bc4 g5 4. O-O g4 5. Ne1 h5 6. f3 Ne7 7. fxg4 hxg4 8. Qxg4 Rg8 9. Qh5+ Ng6 10. Nf3 Qe7 11. Nh4 Qg7 12. Bxg8 Qxg8 13. Nxg6 Qf7 14. d3 Nc6 15. Bh6 Bxh6 16. Qxh6 Nd4 17. Qh8+ Qf8 18. Qxf8#
Tejas299,aarebacillus,300,1-0,2023.10.08,873,813,B12,1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 Nc6 5. Nf3 Bg4 6. Bb5 e6 7. O-O Bxc5 8. Qd2 Bxf3 9. gxf3 Qh4 10. Qf4 Qh3 11. Be3 Be7 12. Qg3 Qh5 13. Nd2 Nh6 14. Qxg7 O-O-O 15. Qxh6 Qxh6 16. Bxh6 Rhg8+ 17. Kh1 Nd4 18. Rg1 Nxb5 19. c4 dxc4 20. Nxc4 Nd4 21. Rac1 Nc6 22. Rxg8 Rxg8 23. Nd6+ Bxd6 24. exd6 Rd8 25. Bf4 Rd7 26. b4 b5 27. Rxc6+ Kb7 28. Rc7+ Rxc7 29. dxc7 Kc8 30. Kg2 a6 31. Kg3 f5 32. Kh4
Tejas299,VadimPetrov,300,0-1,2023.10.08,864,916,C51,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bb6 5. c3 d6 6. O-O Bg4 7. Qb3 Qf6 8. h3 Bh5 9. g4 Bg6 10. d3 Nge7 11. Ng5 h6 12. Nxf7 Bxf7 13. Bxf7+ Qxf7 14. Qxf7+ Kxf7 15. d4 exd4 16. cxd4 Bxd4 17. Kg2 Bxa1 18. f4 Rhf8 19. f5 Kg8 20. g5 hxg5 21. Bxg5 Rae8 22. f6 gxf6 23. Bxf6 Ne5 24. Bxe7 Rxe7
Tejas299,mrsantacruz86,300,0-1,2023.10.08,857,903,B12,1. e4 c6 2. d4 d5 3. e5 g6 4. Nf3 Bg7 5. Bd3 Nh6 6. O-O O-O 7. Nbd2 e6 8. Nb3 Nd7 9. h3 f6 10. Nh2 fxe5 11. dxe5 Nxe5 12. Ng4 Nhxg4 13. hxg4 Qh4 14. Bf4 Nxg4 15. f3 Rxf4 16. fxg4 Rxg4 17. Be2 Rg5 18. Nd4 Bxd4+
Tejas299,motaph2,300,0-1,2023.10.08,849,873,B30,1. e4 c5 2. Nf3 Nc6 3. Bc4 Qc7 4. O-O e6 5. c3 a6 6. d4 b5 7. Bd3 c4 8. Bc2 d6 9. d5 exd5 10. exd5 Ne5 11. Re1 f6 12. Nxe5 dxe5 13. Qh5+ g6 14. Qh4 f5 15. Bg5 Bb7 16. Bf6 Nxf6 17. Qxf6 Bg7 18. Qe6+ Qe7 19. Qxe7+ Kxe7 20. Rd1 Rhd8 21. b3 Bxd5 22. bxc4 Bxc4 23. Na3 Rxd1+ 24. Rxd1 Be2 25. Rd2 Bh5 26. c4 bxc4 27. Nxc4 e4 28. f3 exf3 29. gxf3 Bxf3 30. Bd3 Rd8 31. Nb6 Bd4+ 32. Kf1 Bxb6 33. Ke1 Kf6 34. Bxa6 Re8+ 35. Kf1 Ba5 36. Rd6+ Kg5 37. Rd3 Be2+ 38. Kf2
Tejas299,archebald_now,300,1-0,2023.10.08,858,871,B27,1. e4 c5 2. Nf3 g6 3. Bc4 Bg7 4. O-O h6 5. d4 Qc7 6. dxc5 Qxc5 7. Nbd2 Nc6 8. c3 Ne5 9. Qb3 Nxc4 10. Nxc4 b5 11. Ne3 a5 12. Qd1 Ba6 13. a3 Nf6 14. e5 Nh5 15. Qd2 Bxe5 16. Nxe5 Qxe5 17. Re1 Qc5 18. Nd5 d6 19. Rxe7+ Kf8 20. Rc7 Qxc7 21. Nxc7 Rc8 22. Nxa6
Tejas299,Pabl0T3,300,0-1,2023.10.08,850,846,B01,1. e4 d5 2. d3 d4 3. Nf3 f6 4. Be2 e5 5. O-O Bg4 6. Nfd2 h5 7. Bxg4 hxg4 8. Qxg4 Qd7 9. Qg6+ Qf7 10. Qxf7+ Kxf7 11. f4 Nc6 12. Nc4 b5 13. Ncd2 exf4 14. Rxf4 Bd6 15. Rf3 Bxh2+ 16. Kf1 Be5 17. Na3 Rh1+ 18. Ke2 Rh2 19. Kf2 Rh7 20. Nxb5 a6 21. Na3 Nge7 22. c3 Rah8 23. Ndc4 dxc3 24. bxc3 Bxc3 25. Rb1 Ne5 26. Rg3 Bd4+ 27. Be3 Nxd3+ 28. Ke2 Ne5 29. Bxd4 N7c6 30. Bxe5 fxe5 31. Rf3+ Ke6 32. Rbf1 Nd4+ 33. Ke3 Nxf3 34. Rxf3 Rh2 35. g3 Rxa2 36. Rf5 Ra1 37. Rxe5+ Kf7 38. Rf5+ Kg6 39. Ne5+ Kh7 40. Rh5+ Kg8 41. Rxh8+ Kxh8 42. Nac4 Re1+ 43. Kd4 Rd1+ 44. Kc5 Ra1 45. Nc6 Rg1 46. e5 Rxg3 47. e6 Rg5+ 48. Kb4 Rb5+ 49. Kc3 Rc5 50. Na5 Rf5 51. e7 Rf3+ 52. Kb4 Kh7 53. e8=Q g5 54. Qh5+ Kg7 55. Qxf3 Kg6 56. Qe4+ Kh5 57. Qf3+ Kg6 58. Qc6+ Kh5 59. Qxa6 g4 60. Qe6 Kh4 61. Qh6+ Kg3 62. Qe3+ Kh4 63. Qh6+ Kg3 64. Ne5 Kf2 65. Qg5 g3 66. Qg4 Kg2 67. Nf3 Kf2 68. Nc4 g2
Tejas299,vmmechanical,300,0-1,2023.10.08,842,866,C41,1. e4 e5 2. Nf3 d6 3. Bc4 Bg4 4. O-O h5 5. h3 Nc6 6. hxg4 hxg4 7. Ne1 Qh4 8. Bxf7+ Kd7 9. Bxg8 Qh1#
Tejas299,Magedalsaye,300,1/2-1/2,2023.10.08,848,805,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Qe7 5. d3 Nf6 6. Bg5 h6 7. Bh4 g5 8. Bg3 h5 9. h4 gxh4 10. Bxh4 Be6 11. Bb5 Bd7 12. Nc3 O-O-O 13. Bc4 Ng4 14. Bxe7 Bxe7 15. Bxf7 h4 16. Bd5 h3 17. gxh3 Rxh3 18. Ne2 Bh4 19. Nxh4 Rg8 20. Bxg8 Rxh4 21. Bh7 Rxh7 22. Ng3 Rg7 23. Qd2 Rh7 24. f3 Nf6 25. Qg5 Ne8 26. Qg8 Rg7 27. Qf8 Rxg3+ 28. Kf2 Rh3 29. Qg8 Nd4 30. Qf7 Nxc2 31. Rh1 Rxh1 32. Rxh1 Nd4 33. Rh8 Ne6 34. Rxe8+ Bxe8 35. Qxe8+ Nd8 36. Qa4 b6 37. Qxa7 Kd7 38. Qa4+ Nc6 39. Ke3 Kc8 40. f4 Ne7 41. Qe8+ Kb7 42. Qxe7 d5 43. exd5 b5 44. fxe5 b4 45. d6 Kb6 46. Qxc7+ Kb5 47. d7 b3 48. Qb7+ Kc5 49. Qa7+ Kd5 50. axb3 Ke6 51. Qb6+ Kxd7 52. Qd6+ Ke8
Tejas299,MarioSaldivar88,300,1-0,2023.10.08,865,885,B07,1. e4 d6 2. d4 c6 3. Bd3 Qb6 4. Nf3 Bg4 5. c3 Nf6 6. O-O h5 7. h3 Bxf3 8. Qxf3 h4 9. e5 dxe5 10. dxe5 Nd5 11. Be3 Nxe3 12. fxe3 e6 13. Qxf7+ Kd8 14. Bg6 Nd7 15. Qe8+ Kc7 16. Qxa8 Qxe3+ 17. Kh1 Nxe5 18. Bc2 Qe2 19. Na3 g5 20. Rxf8 Rxf8 21. Qxf8 g4 22. Qg7+ Kb6 23. Qe7 gxh3 24. Qb4+ Kc7 25. Be4 hxg2+ 26. Bxg2 Ng4 27. Qf4+ Kb6 28. Bf3 Nf2+ 29. Kg2 h3+ 30. Kg1 h2+ 31. Kxh2 Nd3+ 32. Bxe2
Tejas299,Franz005,300,0-1,2023.10.08,857,890,B01,1. e4 d5 2. Bd3 e5 3. Nf3 Nc6 4. O-O Nf6 5. Re1 dxe4 6. Bxe4 Nxe4 7. Rxe4 Bf5 8. Re1 Nb4 9. Rxe5+ Be6 10. Ng5 Ke7 11. a3 Nd5 12. Nxe6 fxe6 13. c4 Nf6 14. Qe1 Qd7 15. Nc3 g6 16. Nd5+ Kf7 17. Nxf6 Kxf6 18. Re4 Bh6 19. g4 Rae8 20. h4 g5 21. h5 Rhf8 22. b3 Kg7 23. Bb2+ Kg8 24. d4 Rf7 25. Rd1 Ref8 26. Rd2 Rf4 27. d5 Rxg4+ 28. Rxg4 Rf4 29. Rxf4 gxf4 30. Re2 exd5 31. Re8+ Kf7 32. Re5 dxc4 33. bxc4 Qg4+ 34. Kf1 Qh3+ 35. Ke2 f3+ 36. Kd1 Qd7+ 37. Rd5 Qa4#
Tejas299,Tooooti,300,0-1,2023.10.08,848,839,B01,1. e4 d5 2. e5 c5 3. Nf3 Bf5 4. Bd3 Bxd3 5. cxd3 e6 6. O-O Qb6 7. Qa4+ Nc6 8. Nc3 g6 9. d4 cxd4 10. Nb5 Bc5 11. Nd6+ Bxd6 12. exd6 Nf6 13. Ne5 O-O 14. d7 Nxe5 15. f4 Nexd7 16. g4 Nc5 17. Qc2 d3 18. Qc3 Nce4+
Tejas299,YoSpaghettiBoi,300,1-0,2023.10.09,856,798,B12,1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 Nc6 5. Nf3 Bg4 6. Bb5 e6 7. O-O Bxc5 8. Bxc6+ bxc6 9. Qd2 Bxf3 10. gxf3 Ne7 11. Qc3 Bb6 12. Bg5 Rc8 13. Qb4 Rc7 14. Nc3 O-O 15. Na4 Rb7 16. Nxb6 axb6 17. a4 c5 18. Qg4 Qc7 19. Bf6 Ng6 20. h4 gxf6 21. exf6 Qf4 22. Qg5 Qxg5+ 23. hxg5 Nf4 24. Kh2 h6 25. gxh6 Kh7 26. Kg3 e5 27. Kg4 Rg8+ 28. Kf5 Kxh6 29. Kxe5 Ng6+ 30. Kxd5 Rd7+ 31. Kc6 Rd2 32. Rac1 Ne5+ 33. Kxb6 Nxf3 34. Kxc5 Rb8 35. b3 Ne5 36. a5 Nd7+ 37. Kc6 Nxf6 38. a6 Ra8 39. Kb7 Rdd8 40. Ra1 Ne8 41. a7 Nd6+ 42. Kc7 Nb5+ 43. Kc6 Rxa7 44. Rxa7 Nxa7+ 45. Kb7 Nb5 46. Kb6 Nd4 47. Rd1 Rd6+ 48. Kc5 Nxb3+ 49. Kxd6 f5 50. Ke5 Kg5 51. Rd3 Nc5 52. Rd5 Nd7+ 53. Rxd7 f4 54. Rf7 Kg4 55. Rxf4+ Kh3 56. c3 Kg2 57. c4 Kf1 58. c5 Ke2 59. c6 Kd1 60. c7 Ke1 61. c8=Q Kf1 62. Qc1+ Ke2 63. Re4+ Kxf2 64. Qd2+ Kg3 65. Qe3+ Kg2 66. Rg4+ Kf1 67. Qf3+ Ke1 68. Rg1+ Kd2 69. Qf4+ Kc3 70. Qe3+ Kc4 71. Rc1+ Kb5 72. Qd3+ Kb6 73. Qb3+ Ka5 74. Ra1#
Tejas299,samisamuel,300,0-1,2023.10.09,833,891,B30,1. e4 c5 2. Nf3 Nc6 3. Bc4 e6 4. O-O d5 5. exd5 exd5 6. Bb5 Ne7 7. Re1 a6 8. Ba4 b5 9. Bb3 c4 10. Ne5 Nxe5 11. Rxe5 cxb3 12. cxb3 g6 13. Nc3 Bg7 14. Re1 O-O 15. d4 Nf5 16. Bf4 Nxd4 17. Ne2 Nxe2+ 18. Rxe2 Bb7 19. g3 d4 20. Rd2 Qd7 21. Rc1 Qh3 22. Rc7 Qg2#
Tejas299,seponbob,300,1-0,2023.10.09,841,842,B02,1. e4 Nf6 2. Nc3 g6 3. d4 Bg7 4. Nf3 d6 5. Bg5 O-O 6. e5 dxe5 7. dxe5 Qxd1+ 8. Rxd1 Nfd7 9. Bxe7 Re8 10. Bb4 Nxe5 11. Nxe5 Bxe5 12. Be2 Bxc3+ 13. Bxc3 Bg4 14. f3 Be6 15. O-O Bxa2 16. Bb5 Re7 17. Rd8+ Re8 18. Rxe8#
Tejas299,Wrp2006,300,1-0,2023.10.09,831,817,C24,1. e4 e5 2. f3 Nf6 3. Bc4 Nxe4 4. fxe4 Qh4+ 5. g3 Qxe4+ 6. Qe2 Qxh1 7. Qxe5+ Be7 8. Qxg7 Rf8 9. Qxh7 Qxg1+ 10. Bf1 Nc6 11. d3 d6 12. Bh6 Bh3 13. Nd2 O-O-O 14. Bxf8 Rxf8 15. Qxh3+ Kb8 16. Qg2 Qxg2 17. Bxg2 Nd4 18. O-O-O f5 19. Re1 Bg5 20. Kd1 a6 21. c3 Nb5 22. a4 Na7 23. Nf3 Bh6 24. Nd4 f4 25. Nf5 Bg5 26. h4 Bd8 27. Ng7 fxg3 28. Ne6 Rh8 29. Nxd8 Rxd8 30. Re3 Rg8 31. Bf3 Nc6 32. Bg2 Na5 33. Ke2 Nb3 34. Kf3 Nc5 35. Kf4 Nxa4 36. Rxg3 Rxg3 37. Kxg3 Nxb2 38. d4 Nd3 39. h5 Kc8 40. h6 a5 41. h7 a4 42. h8=Q+ Kd7 43. Qh7+ Kc8 44. Qxd3 a3 45. Qc2
Tejas299,juan74villanueva,300,0-1,2023.10.09,823,851,C00,1. e4 e6 2. d4 b6 3. Bd3 g6 4. Nf3 Bb7 5. O-O d5 6. e5 f6 7. Nc3 fxe5 8. dxe5 d4 9. Ne2 Bxf3 10. gxf3 Bg7 11. Bb5+ c6 12. Bc4 Bxe5 13. Bxe6 Qh4 14. Bxg8 Qxh2#
Tejas299,RichterQuake,300,1-0,2023.10.09,832,831,B12,1. e4 c6 2. d4 d5 3. e5 e6 4. Nc3 Nd7 5. Be3 b6 6. Qg4 g6 7. O-O-O Bh6 8. Bxh6 Nxh6 9. Qf4 Nf5 10. Bd3 O-O 11. Bxf5 exf5 12. Re1 Re8 13. Nf3 Kg7 14. h3 c5 15. dxc5 Nxc5 16. g4 fxg4 17. hxg4 Qd7 18. Qh6+
Tejas299,Shubhkarman_Singh,300,1-0,2023.10.09,848,856,C51,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Bc5 6. d4 exd4 7. O-O dxc3 8. Nxc3 Nf6 9. Re1 O-O 10. e5 Ng4 11. Bg5 Ne7 12. Nd5 Re8 13. Nxe7+ Bxe7 14. Bxe7 Rxe7 15. Ng5 Rxe5 16. Qxg4 Rxg5 17. Qf4 d5 18. Qe3 Be6 19. Bd3 d4 20. Qe4 Bf5 21. Qe2 Bxd3 22. Qxd3 c5 23. Rac1 b6 24. f4 Rg6 25. Re4 Qf6 26. Rce1 Kf8 27. Qb5 Qd6 28. Re8+ Rxe8 29. Rxe8#
Tejas299,coolamey,300,0-1,2023.10.09,824,815,C51,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Bc5 6. d4 exd4 7. O-O d6 8. cxd4 Bb6 9. d5 Nb8 10. Bb5+ c6 11. dxc6 Nxc6 12. Ba3 Bg4 13. Re1 Nf6 14. Bxd6 Bh5 15. e5 Ng4 16. e6 Bxf2+ 17. Kh1 Bc5 18. Bxc5 Nf2+ 19. Kg1 Nxd1 20. exf7+ Kxf7 21. Bc4+ Kf6 22. Re6+ Kf5 23. Nh4+ Kg5 24. g3 Re8 25. Nd2 Qxd2
Tejas299,Juan-pablo-0912,300,1/2-1/2,2023.10.09,824,841,C51,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Bc5 6. d4 exd4 7. O-O dxc3 8. Bxf7+ Kxf7 9. Qd5+ Kf8 10. Qxc5+ Nge7 11. Qxc3 h6 12. Ba3 Kg8 13. Bb2 Qf8 14. Qc4+ Kh7 15. Nbd2 Rg8 16. Nd4 Nxd4 17. Bxd4 Kh8 18. Nf3 Nc6 19. Rab1 Nxd4 20. Nxd4 d6 21. Qxc7 Qf4 22. f3 Qe3+ 23. Kh1 Qxd4 24. Rbd1 Qb6 25. Qxd6 Qxd6 26. Rxd6 b5 27. h3 a5 28. Rb1 b4 29. Rd5 Bb7 30. Rb5 Bc6 31. Rb6 Be8 32. g4 Bf7 33. Rb2 Rgd8 34. Kg2 Rd3 35. Kg3 Rd1 36. Kf4 Rh1 37. Kg3 Rg1+ 38. Kf2 Rh1 39. Kg3 Rg1+ 40. Kf2 Rh1 41. Kg3
Tejas299,michalksiazek,300,1-0,2023.10.09,841,864,B01,1. e4 d5 2. Nc3 d4 3. Nce2 e5 4. Ng3 Nf6 5. Nf3 Bg4 6. Be2 Bxf3 7. Bxf3 Nc6 8. O-O g6 9. c3 Bg7 10. cxd4 Nxd4 11. b3 O-O 12. Bb2 Nxf3+ 13. Qxf3 Qxd2 14. Qe2 Qxe2 15. Nxe2 Nxe4 16. f4 Nd2 17. Rfd1 Ne4 18. fxe5
Tejas299,BlackFabian,300,0-1,2023.10.09,834,876,B01,1. e4 d5 2. e5 e6 3. d4 c5 4. dxc5 Bxc5 5. Bd3 f6 6. Nf3 fxe5 7. Nxe5 Qf6 8. Nf3 Nc6 9. O-O Be7 10. c4 Bd7 11. cxd5 exd5 12. Qb3 O-O-O 13. Nc3 Be6 14. Bb5 d4 15. Ne4 Qf5 16. Re1 Bxb3 17. axb3 Bf6 18. Nd6+ Rxd6 19. Bxc6 bxc6 20. Rxa7 Ne7 21. Raxe7 Bxe7 22. Rxe7 Qc2 23. Re1 d3 24. Nd2 Rdd8 25. h3 g5 26. g4 h5 27. f3 hxg4 28. hxg4 Qc5+ 29. Kg2 Qd6 30. Ne4 Qe6 31. Bxg5 Rd7 32. Kg3 Re8 33. Nc5 Qxe1+ 34. Kf4 Qe3+ 35. Kf5 Qxc5+ 36. Kf4 d2 37. Kg3 d1=Q 38. Kf4 Qxb3 39. Kg3 Qxb2 40. Kh4 Qcb5 41. Kg3 c5 42. Kf4 c4 43. Kg3 c3 44. f4 c2 45. Kh4 c1=Q 46. f5 Qh2#
Tejas299,zalokin93,300,1-0,2023.10.09,850,866,B30,1. e4 c5 2. Nf3 Nc6 3. Bc4 e6 4. O-O a6 5. c3 Be7 6. d4 d5 7. exd5 exd5 8. Bd3 Nf6 9. dxc5 Bxc5 10. Be3 Be7 11. Bg5 O-O 12. Re1 h6 13. Bh4 Re8 14. c4 d4 15. Bxf6 Bxf6 16. Rxe8+ Qxe8 17. Nbd2 Be6 18. Qb3 Na5 19. Qb6 Bd8 20. Qxd4 Rc8 21. c5 Nc6 22. Qe3 Bf6 23. Qe4 g6 24. Rb1 Bxa2 25. Qxe8+ Rxe8 26. Re1 Rxe1+ 27. Nxe1 Bxb2 28. Nef3 Nd4 29. Nxd4 Bxd4 30. Nf3 Bxc5 31. Be4 b5 32. Ne5 b4 33. Nc6 b3 34. Bd5 Bb6 35. Nb4 a5 36. Nxa2 bxa2 37. Bxa2 a4 38. g4 a3 39. Kg2 Kf8 40. f4 f6 41. h4 Ke7 42. Kf3 Kd6 43. Ke4 Bc7 44. f5 g5 45. hxg5 fxg5 46. f6 Bd8 47. f7 Be7 48. Kf5 Kd7 49. Kg6 h5 50. Kxh5
Tejas299,alexpopa1111,300,0-1,2023.10.09,842,869,C47,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Bc5 5. O-O d6 6. d3 Bg4 7. Bg5 O-O 8. h3 Bh5 9. Nd5 Nd4 10. Nxf6+ gxf6 11. Bh6 Nxf3+ 12. gxf3 Re8 13. Kg2 c6 14. Rg1 Kh8 15. Kf1 d5 16. Bb3 dxe4 17. dxe4 Qxd1+ 18. Rxd1 Bxf3 19. Rd7 Rad8 20. Rxd8 Rxd8 21. Ke1 Rd1#
